what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1366385591146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1366385621357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385622065
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1366385625611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385625724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385627074
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385652955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385655048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385677993
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366385678441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1366385703646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1366385703773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1366385703918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1366385743359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385744386
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1366385749899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385750014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385751056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385778784
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385779815
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366385785959
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366385791893
